common_name,scientific_name
Fulvous whistling duck,Dendrocygna bicolor
Lesser whistling duck,Dendrocygna javanica
Red-breasted goose,Branta ruficollis
Bar-headed goose,Anser indicus
Greylag goose,Anser anser
Taiga bean goose,Anser fabalis
Tundra bean goose,Anser serrirostris
Greater white-fronted goose,Anser albifrons
Lesser white-fronted goose,Anser erythropus
Mute swan,Cygnus olor
Tundra swan,Cygnus columbianus
Whooper swan,Cygnus cygnus
Knob-billed duck,Sarkidiornis melanotos
Common shelduck,Tadorna tadorna
Ruddy shelduck,Tadorna ferruginea
White-winged duck,Asarcornis scutulata
Mandarin duck,Aix galericulata
Wood duck,Aix sponsa
Cotton pygmy goose,Nettapus coromandelianus
Baikal teal,Sibirionetta formosa
Garganey,Spatula querquedula
Northern shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated duck,Mareca falcata
Eurasian wigeon,Mareca penelope
Indian spot-billed duck,Anas poecilorhyncha
Eastern spot-billed duck,Anas zonorhyncha
Mallard,Anas platyrhynchos
Northern pintail,Anas acuta
Eurasian teal,Anas crecca
Andaman teal,Anas albogularis
Marbled duck,Marmaronetta angustirostris
Pink-headed duck,Rhodonessa caryophyllacea
Red-crested pochard,Netta rufina
Common pochard,Aythya ferina
Baer's pochard,Aythya baeri
Ferruginous duck,Aythya nyroca
Tufted duck,Aythya fuligula
Greater scaup,Aythya marila
Long-tailed duck,Clangula hyemalis
Common goldeneye,Bucephala clangula
Smew,Mergellus albellus
Common merganser,Mergus merganser
Red-breasted merganser,Mergus serrator
White-headed duck,Oxyura leucocephala
Nicobar scrubfowl,Megapodius nicobariensis
Snow partridge,Lerwa lerwa
Himalayan snowcock,Tetraogallus himalayensis
Tibetan snowcock,Tetraogallus tibetanus
Chukar partridge,Alectoris chukar
Black francolin,Francolinus francolinus
Painted francolin,Francolinus pictus
Chinese francolin,Francolinus pintadeanus
Grey francolin,Ortygornis pondicerianus
Swamp francolin,Ortygornis gularis
Tibetan partridge,Perdix hodgsoniae
Common quail,Coturnix coturnix
Japanese quail,Coturnix japonica
Rain quail,Coturnix coromandelica
King quail,Synoicus chinensis
Jungle bush quail,Perdicula asiatica
Rock bush quail,Perdicula argoondah
Painted bush quail,Perdicula erythrorhyncha
Manipur bush quail,Perdicula manipurensis
Himalayan quail,Ophrysia superciliosa
Hill partridge,Arborophila torqueola
Rufous-throated partridge,Arborophila rufogularis
White-cheeked partridge,Arborophila atrogularis
Chestnut-breasted partridge,Arborophila mandellii
Mountain bamboo partridge,Bambusicola fytchii
Red spurfowl,Galloperdix spadicea
Painted spurfowl,Galloperdix lunulata
Blood pheasant,Ithaginis cruentus
Western tragopan,Tragopan melanocephalus
Satyr tragopan,Tragopan satyra
Blyth's tragopan,Tragopan blythii
Temminck's tragopan,Tragopan temminckii
Koklass pheasant,Pucrasia macrolopha
Himalayan monal,Lophophorus impejanus
Sclater's monal,Lophophorus sclateri
Red junglefowl,Gallus gallus
Grey junglefowl,Gallus sonneratii
Kalij pheasant,Lophura leucomelanos
Cheer pheasant,Catreus wallichii
Mrs. Hume's pheasant,Syrmaticus humiae
Tibetan eared pheasant,Crossoptilon harmani
Grey peacock-pheasant,Polyplectron bicalcaratum
Indian peafowl,Pavo cristatus
Green peafowl,Pavo muticus
Sri Lanka frogmouth,Batrachostomus moniliger
